id,name,latitude,longitude,locality,state,country
USC00352997 , FOREST GROVE , 45.5247 , -123.1025 , Forest Grove , OR , United States
USC00353038 , FOSSIL , 44.9983 , -120.2175 , Fossil , OR , United States
USC00353356 , GOLD BEACH RS , 42.4036 , -124.4242 , Gold Beach , OR , United States
USC00353402 , GOVERNMENT CAMP , 45.3014 , -121.7417 , Government Camp , OR , United States
USC00353445 , GRANTS PASS , 42.4244 , -123.3236 , Grants Pass , OR , United States
USC00353542 , GRIZZLY , 44.5175 , -120.9389 , Madras , OR , United States
USC00353604 , HALFWAY , 44.8772 , -117.1094 , Halfway , OR , United States
USC00353692 , HART MTN REFUGE , 42.5483 , -119.6556 ,  , OR , United States
USC00353770 , HEADWORKS PORTLAND WTR , 45.4486 , -122.1547 , Sandy , OR , United States
USC00353827 , HEPPNER , 45.3653 , -119.5639 , Heppner , OR , United States
USC00353847 , HERMISTON 1 SE , 45.8289 , -119.2636 , Hermiston , OR , United States
USC00354003 , HOOD RIVER EXP STN , 45.6847 , -121.5175 , Hood River , OR , United States
USC00354098 , HUNTINGTON , 44.3564 , -117.255 , Huntington , OR , United States
USC00354291 , JOHN DAY , 44.4233 , -118.9594 , John Day , OR , United States
USC00354811 , LEABURG 1 SW , 44.1014 , -122.6886 , Springfield , OR , United States
USC00355050 , LOOKOUT POINT DAM , 43.9144 , -122.76 , Lowell , OR , United States
USC00355139 , MADRAS , 44.6167 , -121.0011 , Madras , OR , United States
USC00355142 , MADRAS 2 N , 44.6633 , -121.1461 , Madras , OR , United States
USC00355160 , MALHEUR BRANCH EXP STN , 43.9794 , -117.0247 , Ontario , OR , United States
USC00355162 , MALHEUR REFUGE HQ , 43.265 , -118.8447 , Princeton , OR , United States
USC00355221 , MARION FRKS FISH HATCH , 44.6125 , -121.9486 ,  , OR , United States
USC00355362 , MCKENZIE BRG RS , 44.1792 , -122.1164 ,  , OR , United States
USC00355593 , MILTON FREEWATER , 45.9428 , -118.4089 , Milton-Freewater , OR , United States
USC00355734 , MORO , 45.4825 , -120.7236 , Moro , OR , United States
USC00356179 , NYSSA , 43.8764 , -116.9903 , Nyssa , OR , United States
USC00356213 , OAKRIDGE FISH HATCHERY , 43.7428 , -122.4433 , Oakridge , OR , United States
USC00356243 , OCHOCO RS , 44.3964 , -120.4264 , Prineville , OR , United States
USC00356294 , ONTARIO KSRV , 44.0439 , -116.9717 , Ontario , OR , United States
USC00356334 , OREGON CITY , 45.3558 , -122.6047 , Oregon City , OR , United States
USC00356366 , OTIS 2 NE , 45.0333 , -123.9239 , Otis , OR , United States
USC00356405 , OWYHEE DAM , 43.65 , -117.2467 , Nyssa , OR , United States
USC00356426 , PAISLEY , 42.6922 , -120.5403 , Paisley , OR , United States
USC00356532 , PELTON DAM , 44.7275 , -121.2506 , Warm Springs , OR , United States
USC00356540 , PENDLETON BR EXP STN , 45.7206 , -118.6264 , Adams , OR , United States
USC00356541 , PENDLETON DWTN , 45.6703 , -118.7964 , Pendleton , OR , United States
USC00356634 , PILOT ROCK 1 SE , 45.4756 , -118.8253 , Pilot Rock , OR , United States
USC00356883 , PRINEVILLE , 44.3022 , -120.8081 , Prineville , OR , United States
USC00356907 , PROSPECT 2 SW , 42.7342 , -122.5164 , Prospect , OR , United States
USC00357169 , RIDDLE , 42.9506 , -123.3572 , Riddle , OR , United States
USC00357310 , ROME 2 NW , 42.8592 , -117.6569 , Jordan Valley , OR , United States
USC00357641 , SEASIDE , 45.9869 , -123.9236 , Seaside , OR , United States
USC00357675 , SENECA , 44.1383 , -118.975 , Seneca , OR , United States
USC00357809 , SILVER CREEK FALLS , 44.8728 , -122.6486 , Silverton , OR , United States
USC00357857 , SISTERS , 44.2842 , -121.5486 , Sisters , OR , United States
USC00358095 , STAYTON , 44.7892 , -122.8142 , Stayton , OR , United States
USC00358173 , SUMMER LAKE 1 S , 42.9592 , -120.7897 , Summer Lake , OR , United States
USC00358407 , THE DALLES , 45.6069 , -121.2047 , The Dalles , OR , United States
USC00358420 , THE POPLARS , 43.2644 , -120.9447 , Silver Lake , OR , United States
USC00358466 , THREE LYNX , 45.1219 , -122.07 , Estacada , OR , United States
USC00358494 , TILLAMOOK , 45.4539 , -123.8519 , Tillamook , OR , United States
USC00358536 , TOKETEE FALLS , 43.275 , -122.4497 ,  , OR , United States
USC00358634 , TROUTDALE , 45.5533 , -122.3886 , Troutdale , OR , United States
USC00358997 , WALLOWA , 45.5722 , -117.5314 , Wallowa , OR , United States
USC00359316 , WICKIUP DAM , 43.6825 , -121.6875 , La Pine , OR , United States
USC00360868 , BRADFORD 4SW RES 5 , 41.8975 , -78.7144 , Bradford , PA , United States
USC00361354 , CHAMBERSBURG 1 ESE , 39.9353 , -77.6394 , Chambersburg , PA , United States
USC00361485 , CLARION 3 SW , 41.1922 , -79.4361 , Clarion , PA , United States
